year,catch
1955,37.31791908
1956,144.6069364
1957,322.8
1958,403.033526
1959,574.6959538
1960,1116.738728
1961,1623.32948
1962,1931.202312
1963,1658.781503
1964,1472.191908
1965,1090.616185
1966,1210.966474
1967,1199.771098
1968,1721.289017
1969,2433.128324
1970,2605.723699
1971,2230.678613
1972,2654.236994
1973,2455.519075
1974,2870.680925
1975,2076.742197
1976,2161.640462
1977,2581.467052
1978,2903.334104
1979,3284.909827
1980,2494.70289
1981,2748.46474
1982,2731.671676
1983,1558.023121
1984,2616.919075
1985,2231.611561
1986,1587.877457
1987,2047.820809
