Year,t
1955,88
1956,340
1957,759
1958,948
1959,1352
1960,2627
1961,3819
1962,4543
1963,3902
1964,3463
1965,2567
1966,2277
1967,2532
1968,3899
1969,5624
1970,6022
1971,5444
1972,6650
1973,6412
1974,7221
1975,4933
1976,4235
1977,6024
1978,6954
1979,6543
1980,5074
1981,6401
1982,6906
1983,3755
1984,6527
1985,5940
1986,3868
1987,5354
1988,5570
1989,6143
1990,6901
1991,8248
1992,7191
1993,6585
1994,6468
1995,8107
1996,7753
1997,5351
1998,4069
1999,3773
2000,4173
2001,5231
2002,4988
2003,4631
2004,6367
2005,5076
2006,4927
2007,4747
2008,4828
2009,5325
2010,5655
2011,5266
2012,3433
2013,4636
2014,4211
2015,4317
2016,3690
2017,4615
2018,4087
2019,4784
2020,4645
2021,4625
2022,3732
2023,3965
2024,4716
